"Subtotal (Incl. Tax)","Subtotal (inkl. moms)"
"Subtotal (Incl.Tax)","Subtotal (inkl. moms)"
"Subtotal only","Kun subtotal"
"Tax","Moms"
"Tax Calculation Based On","Momsberegning baseret på"
"Tax Calculation Method Based On","Momsberegning baseret på"
"Tax Class for Shipping","Momsklasse for levering"
"Tax Classes","Momsklasser"
"Tax Identifier","Moms-ID"
"Tax Rate","Momssats"
"Tax Rate Information","Momssats - detaljer"
"Tax Rule Information","Momsregel - detaljer"
"Tax Rules","Momsregler"
"Tax Section","Momssektion"
"Tax Titles","Momstitler"
"Tax rate cannot be removed. It exists in tax rule","Momssats kan ikke fjernes da den bruges i en momsregel"
"Tax rates at the same priority are added, others are compounded.","Momssatser med samme prioritet adderes, andre sammensættes."
"The tax class has been deleted.","Momsklassen er slettet."
"The tax class has been saved.","Momsklassen er gemt."
"The tax rate has been deleted.","Momssatsen er slettet."
"The tax rate has been imported.","Momssatsen er importeret."
"The tax rate has been saved.","Momssatsen er gemt."
"The tax rule has been deleted.","Momsreglen er slettet."
"The tax rule has been saved.","Momsreglen er gemt."
"This class no longer exists","Denne klasse findes ikke længere"
"This rule no longer exists","Denne regel eksisterer ikke længere"
"This rule no longer exists.","Denne regel eksisterer ikke længere"
"Total","Total"
"Unit Price","Stykpris"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","Når katalogpris inkluderer moms, vil aktivering af denne indstilling låse prisen, uanset kundens momsprocent."
"Whether catalog prices entered by admin include tax.","Hvorvidt katalogpriserne indtastet i backend er inklusive eller eksklusive moms."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Hvorvidt leveringsbeløb indtastet i backend eller hentet via gateways inkluderer moms."
"Yes","Ja"
"You cannot delete this tax class as it is used for %d customer groups.","Momsgruppe kunne ikke slettes. Den bruges i %d kundegrupper."
"You cannot delete this tax class as it is used for %d products.","Momsgruppe kunne ikke slettes. Den er i brug på %d produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Momsgruppe kunne ikke slettes. Den bruges i momsreglerne. Slet venligst først de regler som anvender denne gruppe først og prøv så igen."
"Zip/Post Code","Postnummer"
"Zip/Post is Range","Postnummer er et interval"
